;Pontos;Nome;Semente;Destino;Enterrada;Distancia;D2;D3;D4;Mudanca;X12;Data;Sessenta
1;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;2018/04/20;14.7
2;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;2018/04/24;14.7
3;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;2018/05/02;14.7
4;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;2018/05/09;14.7
5;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;2018/05/16;14.7
6;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;2018/05/30;14.7
7;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;2018/06/14;14.7
8;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;2018/07/02;14.7
9;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;2018/08/01;14.7
10;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;2018/04/20;14.7
11;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;2018/04/24;14.7
12;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;2018/05/02;14.7
13;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;2018/05/09;14.7
14;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;2018/05/16;14.7
15;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;2018/05/30;14.7
16;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;2018/06/14;14.7
17;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;2018/07/02;14.7
18;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;2018/08/01;14.7
19;AFV01;Restaurante Acima;C2;N;N;0;0;0;0;N;NA;2018/04/20;14.7
20;AFV01;Restaurante Acima;C2;N;N;0;0;0;0;N;NA;2018/04/24;14.7
21;AFV01;Restaurante Acima;C2;N;N;0;0;0;0;N;NA;2018/05/02;14.7
22;AFV01;Restaurante Acima;C2;N;N;0;0;0;0;N;NA;2018/05/09;14.7
23;AFV01;Restaurante Acima;C2;N;N;0;0;0;0;N;NA;2018/05/16;14.7
24;AFV01;Restaurante Acima;C2;N;N;0;0;0;0;N;NA;2018/05/30;14.7
25;AFV01;Restaurante Acima;C2;D;S;8.7;0;0;0;S;NA;2018/06/14;14.7
26;AFV01;Restaurante Acima;C2;D;S;8.7;0;0;0;N;NA;2018/07/02;14.7
27;AFV01;Restaurante Acima;C2;D;S;8.7;0;0;0;N;NA;2018/08/01;14.7
28;AFV01;Restaurante Acima;C3;N;N;0;0;0;0;N;NA;2018/04/20;14.7
29;AFV01;Restaurante Acima;C3;N;N;0;0;0;0;N;NA;2018/04/24;14.7
30;AFV01;Restaurante Acima;C3;N;N;0;0;0;0;N;NA;2018/05/02;14.7
31;AFV01;Restaurante Acima;C3;N;N;0;0;0;0;N;NA;2018/05/09;14.7
32;AFV01;Restaurante Acima;C3;N;N;0;0;0;0;N;NA;2018/05/16;14.7
33;AFV01;Restaurante Acima;C3;N;N;0;0;0;0;N;NA;2018/05/30;14.7
34;AFV01;Restaurante Acima;C3;N;N;12;0;0;0;N;NA;2018/06/14;14.7
35;AFV01;Restaurante Acima;C3;N;N;12;0;0;0;N;NA;2018/07/02;14.7
36;AFV01;Restaurante Acima;C3;N;N;12;0;0;0;N;NA;2018/08/01;14.7
37;AFV01;Restaurante Acima;C4;N;N;0;0;0;0;N;NA;2018/04/20;14.7
38;AFV01;Restaurante Acima;C4;N;N;0;0;0;0;N;NA;2018/04/24;14.7
39;AFV01;Restaurante Acima;C4;N;N;0;0;0;0;N;NA;2018/05/02;14.7
40;AFV01;Restaurante Acima;C4;N;N;0;0;0;0;N;NA;2018/05/09;14.7
41;AFV01;Restaurante Acima;C4;N;N;0;0;0;0;N;NA;2018/05/16;14.7
42;AFV01;Restaurante Acima;C4;N;N;0;0;0;0;N;NA;2018/05/30;14.7
43;AFV01;Restaurante Acima;C4;N;N;8.7;0;0;0;N;NA;2018/06/14;14.7
44;AFV01;Restaurante Acima;C4;N;N;8.7;0;0;0;N;NA;2018/07/02;14.7
45;AFV01;Restaurante Acima;C4;N;N;8.7;0;0;0;N;NA;2018/08/01;14.7
46;AFV01;Restaurante Acima;C5;N;N;0;0;0;0;N;NA;2018/04/20;14.7
47;AFV01;Restaurante Acima;C5;N;N;0;0;0;0;N;NA;2018/04/24;14.7
48;AFV01;Restaurante Acima;C5;N;N;0;0;0;0;N;NA;2018/05/02;14.7
49;AFV01;Restaurante Acima;C5;N;N;0;0;0;0;N;NA;2018/05/09;14.7
50;AFV01;Restaurante Acima;C5;N;N;0;0;0;0;N;NA;2018/05/16;14.7
51;AFV01;Restaurante Acima;C5;N;N;0;0;0;0;N;NA;2018/05/30;14.7
52;AFV01;Restaurante Acima;C5;D;S;12;0;0;0;S;NA;2018/06/14;14.7
53;AFV01;Restaurante Acima;C5;D;S;12;0;0;0;N;NA;2018/07/02;14.7
54;AFV01;Restaurante Acima;C5;D;S;12;0;0;0;N;NA;2018/08/01;14.7
55;AFV01;Restaurante Acima;C6;N;N;0;0;0;0;N;NA;2018/04/20;14.7
56;AFV01;Restaurante Acima;C6;N;N;0;0;0;0;N;NA;2018/04/24;14.7
57;AFV01;Restaurante Acima;C6;N;N;0;0;0;0;N;NA;2018/05/02;14.7
58;AFV01;Restaurante Acima;C6;N;N;0;0;0;0;N;NA;2018/05/09;14.7
59;AFV01;Restaurante Acima;C6;N;N;0;0;0;0;N;NA;2018/05/16;14.7
60;AFV01;Restaurante Acima;C6;N;N;0;0;0;0;N;NA;2018/05/30;14.7
61;AFV01;Restaurante Acima;C6;S;N;8.7;0;0;0;S;NA;2018/06/14;14.7
62;AFV01;Restaurante Acima;C6;S;N;8.7;0;0;0;N;NA;2018/07/02;14.7
63;AFV01;Restaurante Acima;C6;S;N;8.7;0;0;0;N;NA;2018/08/01;14.7
64;AFV01;Restaurante Acima;C7;N;N;0;0;0;0;N;NA;2018/04/20;14.7
65;AFV01;Restaurante Acima;C7;N;N;0;0;0;0;N;NA;2018/04/24;14.7
66;AFV01;Restaurante Acima;C7;N;N;0;0;0;0;N;NA;2018/05/02;14.7
67;AFV01;Restaurante Acima;C7;N;N;0;0;0;0;N;NA;2018/05/09;14.7
68;AFV01;Restaurante Acima;C7;N;N;0;0;0;0;N;NA;2018/05/16;14.7
69;AFV01;Restaurante Acima;C7;N;N;0;0;0;0;N;NA;2018/05/30;14.7
70;AFV01;Restaurante Acima;C7;N;N;12;0;0;0;N;NA;2018/06/14;14.7
71;AFV01;Restaurante Acima;C7;N;N;12;0;0;0;N;NA;2018/07/02;14.7
72;AFV01;Restaurante Acima;C7;N;N;12;0;0;0;N;NA;2018/08/01;14.7
73;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;2018/04/20;14.7
74;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;2018/04/24;14.7
75;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;2018/05/02;14.7
76;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;2018/05/09;14.7
77;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;2018/05/16;14.7
78;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;2018/05/30;14.7
79;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;2018/06/14;14.7
80;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;2018/07/02;14.7
81;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;2018/08/01;14.7
82;AFV01;Restaurante Acima;C9;N;N;0;0;0;0;N;NA;2018/04/20;14.7
83;AFV01;Restaurante Acima;C9;N;N;0;0;0;0;N;NA;2018/04/24;14.7
84;AFV01;Restaurante Acima;C9;N;N;0;0;0;0;N;NA;2018/05/02;14.7
85;AFV01;Restaurante Acima;C9;D;S;17;0;0;0;S;NA;2018/05/09;14.7
86;AFV01;Restaurante Acima;C9;D;N;17;0;0;0;N;NA;2018/05/16;14.7
87;AFV01;Restaurante Acima;C9;D;N;17;0;0;0;N;NA;2018/05/30;14.7
88;AFV01;Restaurante Acima;C9;S;N;0;0;0;0;S;NA;2018/06/14;14.7
89;AFV01;Restaurante Acima;C9;S;N;0;0;0;0;N;NA;2018/07/02;14.7
90;AFV01;Restaurante Acima;C9;S;N;0;0;0;0;N;NA;2018/08/01;14.7
91;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
92;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
93;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;2018/05/02;12.85714286
94;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;2018/05/09;12.85714286
95;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;2018/05/16;12.85714286
96;AFV03;Circuito Mylena;C1;S;N;0;0;0;0;S;NA;2018/05/30;12.85714286
97;AFV03;Circuito Mylena;C1;S;N;0;0;0;0;N;NA;2018/06/14;12.85714286
98;AFV03;Circuito Mylena;C1;S;N;0;0;0;0;N;NA;2018/07/02;12.85714286
99;AFV03;Circuito Mylena;C1;S;N;0;0;0;0;N;NA;2018/08/01;12.85714286
100;AFV03;Circuito Mylena;C10;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
101;AFV03;Circuito Mylena;C10;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
102;AFV03;Circuito Mylena;C10;N;N;0;0;0;0;N;NA;2018/05/02;12.85714286
103;AFV03;Circuito Mylena;C10;N;N;0;0;0;0;N;NA;2018/05/09;12.85714286
104;AFV03;Circuito Mylena;C10;S;N;0;0;0;0;S;NA;2018/05/16;12.85714286
105;AFV03;Circuito Mylena;C10;S;N;0;0;0;0;N;NA;2018/05/30;12.85714286
106;AFV03;Circuito Mylena;C10;S;N;0;0;0;0;N;NA;2018/06/14;12.85714286
107;AFV03;Circuito Mylena;C10;S;N;0;0;0;0;N;NA;2018/07/02;12.85714286
108;AFV03;Circuito Mylena;C10;S;N;0;0;0;0;N;NA;2018/08/01;12.85714286
109;AFV03;Circuito Mylena;C2;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
110;AFV03;Circuito Mylena;C2;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
111;AFV03;Circuito Mylena;C2;N;N;0;0;0;0;N;NA;2018/05/02;12.85714286
112;AFV03;Circuito Mylena;C2;N;N;0;0;0;0;N;NA;2018/05/09;12.85714286
113;AFV03;Circuito Mylena;C2;N;N;0;0;0;0;N;NA;2018/05/16;12.85714286
114;AFV03;Circuito Mylena;C2;S;N;0;0;0;0;S;NA;2018/05/30;12.85714286
115;AFV03;Circuito Mylena;C2;S;N;0;0;0;0;N;NA;2018/06/14;12.85714286
116;AFV03;Circuito Mylena;C2;S;N;0;0;0;0;N;NA;2018/07/02;12.85714286
117;AFV03;Circuito Mylena;C2;S;N;0;0;0;0;N;NA;2018/08/01;12.85714286
118;AFV03;Circuito Mylena;C3;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
119;AFV03;Circuito Mylena;C3;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
120;AFV03;Circuito Mylena;C3;N;N;0;0;0;0;N;NA;2018/05/02;12.85714286
121;AFV03;Circuito Mylena;C3;N;N;0;0;0;0;N;NA;2018/05/09;12.85714286
122;AFV03;Circuito Mylena;C3;N;N;0;0;0;0;N;NA;2018/05/16;12.85714286
123;AFV03;Circuito Mylena;C3;S;N;0;0;0;0;S;NA;2018/05/30;12.85714286
124;AFV03;Circuito Mylena;C3;S;N;0;0;0;0;N;NA;2018/06/14;12.85714286
125;AFV03;Circuito Mylena;C3;S;N;0;0;0;0;N;NA;2018/07/02;12.85714286
126;AFV03;Circuito Mylena;C3;S;N;0;0;0;0;N;NA;2018/08/01;12.85714286
127;AFV03;Circuito Mylena;C4;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
128;AFV03;Circuito Mylena;C4;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
129;AFV03;Circuito Mylena;C4;N;N;0;0;0;0;N;NA;2018/05/02;12.85714286
130;AFV03;Circuito Mylena;C4;N;N;0;0;0;0;N;NA;2018/05/09;12.85714286
131;AFV03;Circuito Mylena;C4;N;N;0;0;0;0;N;NA;2018/05/16;12.85714286
132;AFV03;Circuito Mylena;C4;D;S;22;0;0;0;S;NA;2018/05/30;12.85714286
133;AFV03;Circuito Mylena;C4;D;S;22;0;0;0;N;NA;2018/06/14;12.85714286
134;AFV03;Circuito Mylena;C4;D;S;22;0;0;0;N;NA;2018/07/02;12.85714286
135;AFV03;Circuito Mylena;C4;D;S;22;0;0;0;N;NA;2018/08/01;12.85714286
136;AFV03;Circuito Mylena;C5;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
137;AFV03;Circuito Mylena;C5;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
138;AFV03;Circuito Mylena;C5;N;N;0;0;0;0;N;NA;2018/05/02;12.85714286
139;AFV03;Circuito Mylena;C5;D;N;0;0;0;0;S;NA;2018/05/09;12.85714286
140;AFV03;Circuito Mylena;C5;D;N;0;0;0;0;N;NA;2018/05/16;12.85714286
141;AFV03;Circuito Mylena;C5;D;N;0;0;0;0;N;NA;2018/05/30;12.85714286
142;AFV03;Circuito Mylena;C5;D;N;0;0;0;0;N;NA;2018/06/14;12.85714286
143;AFV03;Circuito Mylena;C5;D;N;0;0;0;0;N;NA;2018/07/02;12.85714286
144;AFV03;Circuito Mylena;C5;D;N;0;0;0;0;N;NA;2018/08/01;12.85714286
145;AFV03;Circuito Mylena;C6;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
146;AFV03;Circuito Mylena;C6;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
147;AFV03;Circuito Mylena;C6;N;N;0;0;0;0;N;NA;2018/05/02;12.85714286
148;AFV03;Circuito Mylena;C6;N;N;0;0;0;0;N;NA;2018/05/09;12.85714286
149;AFV03;Circuito Mylena;C6;S;N;0;0;0;0;S;NA;2018/05/16;12.85714286
150;AFV03;Circuito Mylena;C6;S;N;0;0;0;0;15;NA;2018/05/30;12.85714286
151;AFV03;Circuito Mylena;C6;S;N;0;0;0;0;N;NA;2018/06/14;12.85714286
152;AFV03;Circuito Mylena;C6;S;N;0;0;0;0;N;NA;2018/07/02;12.85714286
153;AFV03;Circuito Mylena;C6;S;N;0;0;0;0;N;NA;2018/08/01;12.85714286
154;AFV03;Circuito Mylena;C7;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
155;AFV03;Circuito Mylena;C7;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
156;AFV03;Circuito Mylena;C7;N;N;0;0;0;0;N;NA;2018/05/02;12.85714286
157;AFV03;Circuito Mylena;C7;N;N;0;0;0;0;N;NA;2018/05/09;12.85714286
158;AFV03;Circuito Mylena;C7;N;N;0;0;0;0;N;NA;2018/05/16;12.85714286
