"","X","Trinta","Sessenta","Cento_e_vinte","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","Predadas"
"1",1,18,18,15,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017-08-15",FALSE
"2",2,18,18,15,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017-08-15",FALSE
"3",3,18,18,15,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017-08-15",FALSE
"4",4,18,18,15,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017-08-15",FALSE
"5",5,18,18,15,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017-08-15",FALSE
"6",6,18,18,15,"AFV01","Restaurante Acima","C5","D","N",15.7,0,0,0,"S","2017-08-15",FALSE
"7",7,18,18,15,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017-08-15",FALSE
"8",8,18,18,15,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N","2017-08-15",FALSE
"9",9,18,18,15,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017-08-15",FALSE
"10",10,18,18,15,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017-08-15",FALSE
"11",11,22,21,19,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N","2017-08-15",FALSE
"12",12,22,21,19,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N","2017-08-15",FALSE
"13",13,22,21,19,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N","2017-08-15",FALSE
"14",14,22,21,19,"AFV03","Circuito Mylena","C3","D","N",33.1,15,17,0,"N","2017-08-15",FALSE
"15",15,22,21,19,"AFV03","Circuito Mylena","C4","D","N",75.3,1,15.2,0,"S","2017-08-15",FALSE
"16",16,22,21,19,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N","2017-08-15",FALSE
"17",17,22,21,19,"AFV03","Circuito Mylena","C6","N","N",0,0,0,0,"N","2017-08-15",FALSE
"18",18,22,21,19,"AFV03","Circuito Mylena","C7","N","N",0,0,0,0,"N","2017-08-15",FALSE
"19",19,22,21,19,"AFV03","Circuito Mylena","C8","N","N",0,0,0,0,"N","2017-08-15",FALSE
"20",20,22,21,19,"AFV03","Circuito Mylena","C9","D","S",43.7,36,0,0,"N","2017-08-15",FALSE
"21",21,31,29,25,"AFV04","Estrada Excelsior","C1","N","N",0,0,0,0,"N","2017-08-15",FALSE
"22",22,31,29,25,"AFV04","Estrada Excelsior","C10","P","N",12.4,0,0,0,"N","2017-08-15",TRUE
"23",23,31,29,25,"AFV04","Estrada Excelsior","C2","P","N",12.4,0,0,0,"N","2017-08-15",TRUE
"24",24,31,29,25,"AFV04","Estrada Excelsior","C3","P","N",10.1,0,0,0,"N","2017-08-15",TRUE
"25",25,31,29,25,"AFV04","Estrada Excelsior","C4","N","N",0,0,0,0,"N","2017-08-15",FALSE
"26",26,31,29,25,"AFV04","Estrada Excelsior","C5","D","S",12.9,0,0,0,"N","2017-08-15",FALSE
"27",27,31,29,25,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N","2017-08-15",FALSE
"28",28,31,29,25,"AFV04","Estrada Excelsior","C7","N","N",0,0,0,0,"N","2017-08-15",FALSE
"29",29,31,29,25,"AFV04","Estrada Excelsior","C8","N","N",0,2,0,0,"N","2017-08-15",FALSE
"30",30,31,29,25,"AFV04","Estrada Excelsior","C9","N","N",0,0,0,0,"N","2017-08-15",FALSE
"31",31,7,7,7,"AFV05b","Banheiro","C1","P","N",12.5,0,0,0,"N","2017-08-15",TRUE
