"","Trinta","Sessenta","Cento_e_vinte","log30","log60","log120","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","Dispersas"
"1",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",2017-08-15,FALSE
"2",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",2017-08-15,FALSE
"3",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N",2017-08-15,FALSE
"4",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N",2017-08-15,FALSE
"5",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N",2017-08-15,FALSE
"6",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C5","D","N",15.7,0,0,0,"S",2017-08-15,TRUE
"7",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N",2017-08-15,FALSE
"8",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N",2017-08-15,FALSE
"9",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N",2017-08-15,FALSE
"10",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N",2017-08-15,FALSE
"11",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N",2017-08-15,FALSE
"12",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N",2017-08-15,FALSE
"13",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N",2017-08-15,FALSE
"14",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C3","D","N",33.1,15,17,0,"N",2017-08-15,TRUE
"15",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C4","D","N",75.3,1,15.2,0,"S",2017-08-15,TRUE
"16",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",2017-08-15,FALSE
"17",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C6","N","N",0,0,0,0,"N",2017-08-15,FALSE
"18",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C7","N","N",0,0,0,0,"N",2017-08-15,FALSE
"19",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C8","N","N",0,0,0,0,"N",2017-08-15,FALSE
"20",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C9","D","S",43.7,36,0,0,"N",2017-08-15,TRUE
"21",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C1","N","N",0,0,0,0,"N",2017-08-15,FALSE
"22",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C10","P","N",12.4,0,0,0,"N",2017-08-15,FALSE
"23",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C2","P","N",12.4,0,0,0,"N",2017-08-15,FALSE
"24",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C3","P","N",10.1,0,0,0,"N",2017-08-15,FALSE
"25",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C4","N","N",0,0,0,0,"N",2017-08-15,FALSE
"26",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C5","D","S",12.9,0,0,0,"N",2017-08-15,TRUE
"27",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N",2017-08-15,FALSE
"28",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C7","N","N",0,0,0,0,"N",2017-08-15,FALSE
"29",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C8","N","N",0,2,0,0,"N",2017-08-15,FALSE
"30",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C9","N","N",0,0,0,0,"N",2017-08-15,FALSE
"31",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C1","P","N",12.5,0,0,0,"N",2017-08-15,FALSE
"32",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C10","P","N",14.6,0,0,0,"N",2017-08-15,FALSE
"33",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C2","N","N",0,0,0,0,"N",2017-08-15,FALSE
"34",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C3","N","N",0,0,0,0,"N",2017-08-15,FALSE
"35",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C4","N","N",0,0,0,0,"N",2017-08-15,FALSE
"36",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C5","P","N",12.5,0,0,0,"N",2017-08-15,FALSE
"37",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C6","P","N",12.6,0,0,0,"N",2017-08-15,FALSE
"38",7,7,7,2.07944154167984,2.07944154167984,2.07944154167984,"AFV05b","Banheiro","C7","P","N",14.3,0,0,0,"N",2017-08-15,FALSE
