"","X.1","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","N","Sessenta"
"1",1,11,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/05/05",11,18.5
"2",2,20,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/05/07",20,18.5
"3",3,29,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/05/11",29,18.5
"4",4,69,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/05/18",69,18.5
"5",5,79,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/05/25",79,18.5
"6",6,1,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/06/01",1,18.5
"7",7,49,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/06/15",49,18.5
"8",8,89,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/06/29",89,18.5
"9",9,39,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/07/13",39,18.5
"10",10,59,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N","2017/08/15",59,18.5
"11",11,12,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/05/05",12,18.5
"12",12,21,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/05/07",21,18.5
"13",13,30,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/05/11",30,18.5
"14",14,70,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/05/18",70,18.5
"15",15,80,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/05/25",80,18.5
"16",16,2,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/06/01",2,18.5
"17",17,50,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/06/15",50,18.5
"18",18,90,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/06/29",90,18.5
"19",19,40,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/07/13",40,18.5
"20",20,60,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N","2017/08/15",60,18.5
"21",21,13,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/05/05",13,18.5
"22",22,22,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/05/07",22,18.5
"23",23,31,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/05/11",31,18.5
"24",24,71,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/05/18",71,18.5
"25",25,81,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/05/25",81,18.5
"26",26,3,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/06/01",3,18.5
"27",27,51,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/06/15",51,18.5
"28",28,91,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/06/29",91,18.5
"29",29,41,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/07/13",41,18.5
"30",30,61,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N","2017/08/15",61,18.5
"31",31,14,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/05/05",14,18.5
"32",32,23,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/05/07",23,18.5
"33",33,32,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/05/11",32,18.5
"34",34,72,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/05/18",72,18.5
"35",35,82,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/05/25",82,18.5
"36",36,4,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/06/01",4,18.5
"37",37,52,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/06/15",52,18.5
"38",38,92,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/06/29",92,18.5
"39",39,42,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/07/13",42,18.5
"40",40,62,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N","2017/08/15",62,18.5
"41",41,15,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/05/05",15,18.5
"42",42,24,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/05/07",24,18.5
"43",43,33,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/05/11",33,18.5
"44",44,73,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/05/18",73,18.5
"45",45,83,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/05/25",83,18.5
"46",46,5,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/06/01",5,18.5
"47",47,53,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/06/15",53,18.5
"48",48,93,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/06/29",93,18.5
"49",49,43,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/07/13",43,18.5
"50",50,63,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N","2017/08/15",63,18.5
"51",51,16,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N","2017/05/05",16,18.5
"52",52,25,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N","2017/05/07",25,18.5
"53",53,34,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N","2017/05/11",34,18.5
"54",54,74,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N","2017/05/18",74,18.5
"55",55,84,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N","2017/05/25",84,18.5
"56",56,6,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N","2017/06/01",6,18.5
"57",57,54,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N","2017/06/15",54,18.5
"58",58,94,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N","2017/06/29",94,18.5
"59",59,44,"AFV01","Restaurante Acima","C5","D","N",23,0,0,0,"S","2017/07/13",44,18.5
"60",60,64,"AFV01","Restaurante Acima","C5","D","N",14,0,0,0,"S","2017/08/15",64,18.5
"61",61,17,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/05/05",17,18.5
"62",62,26,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/05/07",26,18.5
"63",63,35,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/05/11",35,18.5
"64",64,75,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/05/18",75,18.5
"65",65,85,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/05/25",85,18.5
"66",66,7,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/06/01",7,18.5
"67",67,55,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/06/15",55,18.5
"68",68,95,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/06/29",95,18.5
"69",69,45,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/07/13",45,18.5
"70",70,65,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N","2017/08/15",65,18.5
"71",71,36,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N","2017/05/11",36,18.5
"72",72,76,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N","2017/05/18",76,18.5
"73",73,86,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N","2017/05/25",86,18.5
"74",74,8,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N","2017/06/01",8,18.5
"75",75,56,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N","2017/06/15",56,18.5
"76",76,96,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N","2017/06/29",96,18.5
"77",77,46,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N","2017/07/13",46,18.5
"78",78,66,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N","2017/08/15",66,18.5
"79",79,18,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/05/05",18,18.5
"80",80,27,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/05/07",27,18.5
"81",81,37,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/05/11",37,18.5
"82",82,77,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/05/18",77,18.5
"83",83,87,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/05/25",87,18.5
"84",84,9,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/06/01",9,18.5
"85",85,57,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/06/15",57,18.5
"86",86,97,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/06/29",97,18.5
"87",87,47,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/07/13",47,18.5
"88",88,67,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N","2017/08/15",67,18.5
"89",89,19,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/05/05",19,18.5
"90",90,28,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/05/07",28,18.5
"91",91,38,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/05/11",38,18.5
"92",92,78,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/05/18",78,18.5
"93",93,88,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/05/25",88,18.5
"94",94,10,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/06/01",10,18.5
"95",95,58,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/06/15",58,18.5
"96",96,98,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/06/29",98,18.5
"97",97,48,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/07/13",48,18.5
"98",98,68,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N","2017/08/15",68,18.5
"99",99,109,"AFV02","Restaurante Abaixo","C1","N","N",0,0,0,0,"N","2017/05/05",109,35.69
"100",100,119,"AFV02","Restaurante Abaixo","C1","N","N",0,0,0,0,"N","2017/05/07",119,35.69
"101",101,129,"AFV02","Restaurante Abaixo","C1","N","N",0,0,0,0,"N","2017/05/11",129,35.69
"102",102,169,"AFV02","Restaurante Abaixo","C1","N","N",0,0,0,0,"N","2017/05/18",169,35.69
