"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","N","Sessenta"
"1",11,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/05/05",11,15
"2",20,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/05/07",20,15
"3",29,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/05/11",29,15
"4",69,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/05/18",69,15
"5",79,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/05/25",79,15
"6",1,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/06/01",1,15
"7",49,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/06/15",49,15
"8",89,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/06/29",89,15
"9",39,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/07/13",39,15
"10",59,"AFV01","Restaurante Acima","C1","N","N","0","0","0",0,"N","2017/08/15",59,15
"11",12,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/05/05",12,15
"12",21,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/05/07",21,15
"13",30,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/05/11",30,15
"14",70,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/05/18",70,15
"15",80,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/05/25",80,15
"16",2,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/06/01",2,15
"17",50,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/06/15",50,15
"18",90,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/06/29",90,15
"19",40,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/07/13",40,15
"20",60,"AFV01","Restaurante Acima","C10","N","N","0","0","0",0,"N","2017/08/15",60,15
"21",13,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/05/05",13,15
"22",22,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/05/07",22,15
"23",31,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/05/11",31,15
"24",71,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/05/18",71,15
"25",81,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/05/25",81,15
"26",3,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/06/01",3,15
"27",51,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/06/15",51,15
"28",91,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/06/29",91,15
"29",41,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/07/13",41,15
"30",61,"AFV01","Restaurante Acima","C2","N","N","0","0","0",0,"N","2017/08/15",61,15
"31",14,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/05/05",14,15
"32",23,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/05/07",23,15
"33",32,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/05/11",32,15
"34",72,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/05/18",72,15
"35",82,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/05/25",82,15
"36",4,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/06/01",4,15
"37",52,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/06/15",52,15
"38",92,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/06/29",92,15
"39",42,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/07/13",42,15
"40",62,"AFV01","Restaurante Acima","C3","N","N","0","0","0",0,"N","2017/08/15",62,15
"41",15,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/05/05",15,15
"42",24,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/05/07",24,15
"43",33,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/05/11",33,15
"44",73,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/05/18",73,15
"45",83,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/05/25",83,15
"46",5,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/06/01",5,15
"47",53,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/06/15",53,15
"48",93,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/06/29",93,15
"49",43,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/07/13",43,15
"50",63,"AFV01","Restaurante Acima","C4","N","N","0","0","0",0,"N","2017/08/15",63,15
"51",16,"AFV01","Restaurante Acima","C5","N","N","0","0","0",0,"N","2017/05/05",16,15
"52",25,"AFV01","Restaurante Acima","C5","N","N","0","0","0",0,"N","2017/05/07",25,15
"53",34,"AFV01","Restaurante Acima","C5","N","N","0","0","0",0,"N","2017/05/11",34,15
"54",74,"AFV01","Restaurante Acima","C5","N","N","0","0","0",0,"N","2017/05/18",74,15
"55",84,"AFV01","Restaurante Acima","C5","N","N","0","0","0",0,"N","2017/05/25",84,15
"56",6,"AFV01","Restaurante Acima","C5","N","N","0","0","0",0,"N","2017/06/01",6,15
"57",54,"AFV01","Restaurante Acima","C5","N","N","0","0","0",0,"N","2017/06/15",54,15
"58",94,"AFV01","Restaurante Acima","C5","N","N","0","0","0",0,"N","2017/06/29",94,15
"59",44,"AFV01","Restaurante Acima","C5","D","N","23","0","0",0,"S","2017/07/13",44,15
"60",64,"AFV01","Restaurante Acima","C5","D","N","14","0","0",0,"S","2017/08/15",64,15
"61",17,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/05/05",17,15
"62",26,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/05/07",26,15
"63",35,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/05/11",35,15
"64",75,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/05/18",75,15
"65",85,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/05/25",85,15
"66",7,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/06/01",7,15
"67",55,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/06/15",55,15
"68",95,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/06/29",95,15
"69",45,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/07/13",45,15
"70",65,"AFV01","Restaurante Acima","C6","N","N","0","0","0",0,"N","2017/08/15",65,15
"71",36,"AFV01","Restaurante Acima","C7","N","N","0","0","0",0,"N","2017/05/11",36,15
"72",76,"AFV01","Restaurante Acima","C7","N","N","0","0","0",0,"N","2017/05/18",76,15
"73",86,"AFV01","Restaurante Acima","C7","N","N","0","0","0",0,"N","2017/05/25",86,15
"74",8,"AFV01","Restaurante Acima","C7","N","N","0","0","0",0,"N","2017/06/01",8,15
"75",56,"AFV01","Restaurante Acima","C7","N","N","0","0","0",0,"N","2017/06/15",56,15
"76",96,"AFV01","Restaurante Acima","C7","N","N","0","0","0",0,"N","2017/06/29",96,15
"77",46,"AFV01","Restaurante Acima","C7","N","N","0","0","0",0,"N","2017/07/13",46,15
"78",66,"AFV01","Restaurante Acima","C7","N","N","0","0","0",0,"N","2017/08/15",66,15
"79",18,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/05/05",18,15
"80",27,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/05/07",27,15
"81",37,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/05/11",37,15
"82",77,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/05/18",77,15
"83",87,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/05/25",87,15
"84",9,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/06/01",9,15
"85",57,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/06/15",57,15
"86",97,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/06/29",97,15
"87",47,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/07/13",47,15
"88",67,"AFV01","Restaurante Acima","C8","N","N","0","0","0",0,"N","2017/08/15",67,15
"89",19,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/05/05",19,15
"90",28,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/05/07",28,15
"91",38,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/05/11",38,15
"92",78,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/05/18",78,15
"93",88,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/05/25",88,15
"94",10,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/06/01",10,15
"95",58,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/06/15",58,15
"96",98,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/06/29",98,15
"97",48,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/07/13",48,15
"98",68,"AFV01","Restaurante Acima","C9","N","N","0","0","0",0,"N","2017/08/15",68,15
"99",109,"AFV02","Restaurante Abaixo","C1","N","N","0","0","0",0,"N","2017/05/05",109,35.69
"100",119,"AFV02","Restaurante Abaixo","C1","N","N","0","0","0",0,"N","2017/05/07",119,35.69
"101",129,"AFV02","Restaurante Abaixo","C1","N","N","0","0","0",0,"N","2017/05/11",129,35.69
"102",169,"AFV02","Restaurante Abaixo","C1","N","N","0","0","0",0,"N","2017/05/18",169,35.69
