"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","Trinta","Sessenta","Cento_e_vinte"
"1",1,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.66,14.7,14.7
"2",2,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.66,14.7,14.7
"3",3,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.66,14.7,14.7
"4",4,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.66,14.7,14.7
"5",5,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",NA,NA,"2018-05-30",17.66,14.7,14.7
"6",6,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.66,14.7,14.7
"7",7,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.66,14.7,14.7
"8",8,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.66,14.7,14.7
"9",9,"AFV01","Restaurante Acima","C5","D","S",12,0,0,0,"S",NA,NA,"2018-06-14",17.66,14.7,14.7
"10",10,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.66,14.7,14.7
"11",11,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.66,14.7,14.7
"12",12,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.66,14.7,14.7
"13",13,"AFV01","Restaurante Acima","C3","N","N",12,0,0,0,"N",NA,NA,"2018-07-02",17.66,14.7,14.7
"14",14,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",NA,NA,"2018-06-14",17.66,14.7,14.7
"15",15,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.66,14.7,14.7
"16",16,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.66,14.7,14.7
"17",17,"AFV01","Restaurante Acima","C6","S","N",8.7,0,0,0,"N",NA,NA,"2018-07-02",17.66,14.7,14.7
"18",18,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",NA,NA,"2018-06-14",17.66,14.7,14.7
"19",19,"AFV01","Restaurante Acima","C6","S","N",8.7,0,0,0,"S",NA,NA,"2018-06-14",17.66,14.7,14.7
"20",20,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.66,14.7,14.7
"21",21,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.66,14.7,14.7
"22",22,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",NA,NA,"2018-05-30",17.66,14.7,14.7
"23",23,"AFV01","Restaurante Acima","C2","D","S",8.7,0,0,0,"N",NA,NA,"2018-08-01",17.66,14.7,14.7
"24",24,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.66,14.7,14.7
