;Pontos;Nome;Semente;Destino;Enterrada;Distancia;D2;D3;D4;Mudanca;X12;X13;Data;N
1;AFV07;Lago das Fadas;C1;N;N;0;0;0;0;N;NA;1;2018/04/20;1
2;AFV07;Lago das Fadas;C2;N;N;0;0;0;0;N;NA;2;2018/04/20;2
3;AFV07;Lago das Fadas;C3;N;N;0;0;0;0;N;NA;3;2018/04/20;3
4;AFV07;Lago das Fadas;C4;N;N;0;0;0;0;N;NA;4;2018/04/20;4
5;AFV07;Lago das Fadas;C5;N;N;0;0;0;0;N;NA;5;2018/04/20;5
6;AFV07;Lago das Fadas;C6;N;N;0;0;0;0;N;NA;6;2018/04/20;6
7;AFV07;Lago das Fadas;C7;N;N;0;0;0;0;N;NA;7;2018/04/20;7
8;AFV07;Lago das Fadas;C8;N;N;0;0;0;0;N;NA;8;2018/04/20;8
9;AFV07;Lago das Fadas;C9;N;N;0;0;0;0;N;NA;9;2018/04/20;9
10;AFV07;Lago das Fadas;C10;N;N;0;0;0;0;N;NA;10;2018/04/20;10
11;AFV01;Restaurante Acima;C1;N;N;0;0;0;0;N;NA;11;2018/04/20;11
12;AFV01;Restaurante Acima;C2;N;N;0;0;0;0;N;NA;12;2018/04/20;12
13;AFV01;Restaurante Acima;C3;N;N;0;0;0;0;N;NA;13;2018/04/20;13
14;AFV01;Restaurante Acima;C4;N;N;0;0;0;0;N;NA;14;2018/04/20;14
15;AFV01;Restaurante Acima;C5;N;N;0;0;0;0;N;NA;15;2018/04/20;15
16;AFV01;Restaurante Acima;C6;N;N;0;0;0;0;N;NA;16;2018/04/20;16
17;AFV01;Restaurante Acima;C7;N;N;0;0;0;0;N;NA;17;2018/04/20;17
18;AFV01;Restaurante Acima;C8;N;N;0;0;0;0;N;NA;18;2018/04/20;18
19;AFV01;Restaurante Acima;C9;N;N;0;0;0;0;N;NA;19;2018/04/20;19
20;AFV01;Restaurante Acima;C10;N;N;0;0;0;0;N;NA;20;2018/04/20;20
21;AFV20;Grutas;C1;N;N;0;0;0;0;N;NA;21;2018/04/20;21
22;AFV20;Grutas;C2;N;N;0;0;0;0;N;NA;22;2018/04/20;22
23;AFV20;Grutas;C3;N;N;0;0;0;0;N;NA;23;2018/04/20;23
24;AFV20;Grutas;C4;N;N;0;0;0;0;N;NA;24;2018/04/20;24
25;AFV20;Grutas;C5;N;N;0;0;0;0;N;NA;25;2018/04/20;25
26;AFV20;Grutas;C6;N;N;0;0;0;0;N;NA;26;2018/04/20;26
27;AFV20;Grutas;C7;N;N;0;0;0;0;N;NA;27;2018/04/20;27
28;AFV20;Grutas;C8;N;N;0;0;0;0;N;NA;28;2018/04/20;28
29;AFV20;Grutas;C9;N;N;0;0;0;0;N;NA;29;2018/04/20;29
30;AFV20;Grutas;C10;N;N;0;0;0;0;N;NA;30;2018/04/20;30
31;AFV06;Muro;C1;N;N;0;0;0;0;N;NA;31;2018/04/20;31
221;AFV06;Muro;C1;N;N;0;0;0;0;N;NA;221;2018/04/24;221
411;AFV06;Muro;C1;N;N;0;0;0;0;N;NA;411;2018/05/02;411
601;AFV06;Muro;C1;N;N;0;0;0;0;N;NA;601;2018/05/09;601
791;AFV06;Muro;C1;N;N;0;0;0;0;N;NA;791;2018/05/16;791
981;AFV06;Muro;C1;N;N;0;0;0;0;N;NA;981;2018/05/30;981
1171;AFV06;Muro;C1;N;N;0;0;0;0;N;NA;1171;2018/06/14;1171
1361;AFV06;Muro;C1;N;N;0;0;0;0;N;NA;1361;2018/07/02;1361
1551;AFV06;Muro;C1;N;N;0;0;0;0;N;NA;1551;2018/08/01;1551
40;AFV06;Muro;C10;N;N;0;0;0;0;N;NA;40;2018/04/20;40
42;AFV05b;Banheiro;C2;N;N;0;0;0;0;N;NA;42;2018/04/20;42
43;AFV05b;Banheiro;C3;N;N;0;0;0;0;N;NA;43;2018/04/20;43
44;AFV05b;Banheiro;C4;N;N;0;0;0;0;N;NA;44;2018/04/20;44
45;AFV05b;Banheiro;C5;N;N;0;0;0;0;N;NA;45;2018/04/20;45
46;AFV05b;Banheiro;C6;N;N;0;0;0;0;N;NA;46;2018/04/20;46
47;AFV05b;Banheiro;C7;N;N;0;0;0;0;N;NA;47;2018/04/20;47
48;AFV05b;Banheiro;C8;N;N;0;0;0;0;N;NA;48;2018/04/20;48
49;AFV05b;Banheiro;C9;N;N;0;0;0;0;N;NA;49;2018/04/20;49
50;AFV05b;Banheiro;C10;N;N;0;0;0;0;N;NA;50;2018/04/20;50
51;AFV10a;Banheira;C1;N;N;0;0;0;0;N;NA;51;2018/04/20;51
52;AFV10a;Banheira;C2;N;N;0;0;0;0;N;NA;52;2018/04/20;52
53;AFV10a;Banheira;C3;N;N;0;0;0;0;N;NA;53;2018/04/20;53
54;AFV10a;Banheira;C4;N;N;0;0;0;0;N;NA;54;2018/04/20;54
55;AFV10a;Banheira;C5;N;N;0;0;0;0;N;NA;55;2018/04/20;55
56;AFV10a;Banheira;C6;N;N;0;0;0;0;N;NA;56;2018/04/20;56
57;AFV10a;Banheira;C7;N;N;0;0;0;0;N;NA;57;2018/04/20;57
58;AFV10a;Banheira;C8;N;N;0;0;0;0;N;NA;58;2018/04/20;58
59;AFV10a;Banheira;C9;N;N;0;0;0;0;N;NA;59;2018/04/20;59
60;AFV10a;Banheira;C10;N;N;0;0;0;0;N;NA;60;2018/04/20;60
61;AFV11;Casa do Pesquisador;C1;N;N;0;0;0;0;N;NA;61;2018/04/20;61
62;AFV11;Casa do Pesquisador;C2;N;N;0;0;0;0;N;NA;62;2018/04/20;62
63;AFV11;Casa do Pesquisador;C3;D;N;9.3;0;0;0;S;NA;63;2018/04/20;63
64;AFV11;Casa do Pesquisador;C4;D;S;16;0;0;0;S;NA;64;2018/04/20;64
65;AFV11;Casa do Pesquisador;C5;D;S;30;0;0;0;S;NA;65;2018/04/20;65
66;AFV11;Casa do Pesquisador;C6;D;S;14.5;0;0;0;S;NA;66;2018/04/20;66
67;AFV11;Casa do Pesquisador;C7;N;N;0;0;0;0;N;NA;67;2018/04/20;67
68;AFV11;Casa do Pesquisador;C8;N;N;0;0;0;0;N;NA;68;2018/04/20;68
69;AFV11;Casa do Pesquisador;C9;N;N;0;0;0;0;N;NA;69;2018/04/20;69
71;AFV14;Capela;C1;N;N;0;0;0;0;N;NA;71;2018/04/20;71
72;AFV14;Capela;C2;N;N;0;0;0;0;N;NA;72;2018/04/20;72
73;AFV14;Capela;C3;N;N;0;0;0;0;N;NA;73;2018/04/20;73
74;AFV14;Capela;C4;N;N;0;0;0;0;N;NA;74;2018/04/20;74
75;AFV14;Capela;C5;N;N;0;0;0;0;N;NA;75;2018/04/20;75
76;AFV14;Capela;C6;N;N;0;0;0;0;N;NA;76;2018/04/20;76
77;AFV14;Capela;C7;N;N;0;0;0;0;N;NA;77;2018/04/20;77
78;AFV14;Capela;C8;N;N;0;0;0;0;N;NA;78;2018/04/20;78
79;AFV14;Capela;C9;N;N;0;0;0;0;N;NA;79;2018/04/20;79
80;AFV14;Capela;C10;N;N;0;0;0;0;N;NA;80;2018/04/20;80
81;AFV13;Centro de Visitantes;C1;N;N;0;0;0;0;N;NA;81;2018/04/20;81
82;AFV13;Centro de Visitantes;C2;D;S;33;0;0;0;S;NA;82;2018/04/20;82
83;AFV13;Centro de Visitantes;C3;N;N;0;0;0;0;N;NA;83;2018/04/20;83
84;AFV13;Centro de Visitantes;C4;N;N;0;0;0;0;N;NA;84;2018/04/20;84
85;AFV13;Centro de Visitantes;C5;N;N;0;0;0;0;N;NA;85;2018/04/20;85
86;AFV13;Centro de Visitantes;C6;N;N;0;0;0;0;N;NA;86;2018/04/20;86
87;AFV13;Centro de Visitantes;C7;N;N;0;0;0;0;N;NA;87;2018/04/20;87
88;AFV13;Centro de Visitantes;C8;N;N;0;0;0;0;N;NA;88;2018/04/20;88
89;AFV13;Centro de Visitantes;C9;D;S;41.3;0;0;0;S;NA;89;2018/04/20;89
90;AFV13;Centro de Visitantes;C10;N;N;0;0;0;0;N;NA;90;2018/04/20;90
91;AFV08;Cercado;C1;D;N;17;0;0;0;S;NA;91;2018/04/20;91
92;AFV08;Cercado;C2;D;N;16;0;0;0;S;NA;92;2018/04/20;92
93;AFV08;Cercado;C3;N;N;0;0;0;0;N;NA;93;2018/04/20;93
94;AFV08;Cercado;C4;N;N;0;0;0;0;N;NA;94;2018/04/20;94
95;AFV08;Cercado;C5;N;N;0;0;0;0;N;NA;95;2018/04/20;95
96;AFV08;Cercado;C6;P;N;15;0;0;0;S;Acabou a linha;96;2018/04/20;96
97;AFV08;Cercado;C7;P;N;15;0;0;0;S;NA;97;2018/04/20;97
98;AFV08;Cercado;C8;D;N;21.3;0;0;0;S;NA;98;2018/04/20;98
99;AFV08;Cercado;C9;P;N;15;0;0;0;S;Acabou a linha;99;2018/04/20;99
100;AFV08;Cercado;C10;D;N;32;0;0;0;S;NA;100;2018/04/20;100
101;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;101;2018/04/20;101
291;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;291;2018/04/24;291
481;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;481;2018/05/02;481
671;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;671;2018/05/09;671
861;AFV03;Circuito Mylena;C1;N;N;0;0;0;0;N;NA;861;2018/05/16;861
1051;AFV03;Circuito Mylena;C1;S;N;0;0;0;0;S;NA;1051;2018/05/30;1051
1241;AFV03;Circuito Mylena;C1;S;N;0;0;0;0;N;NA;1241;2018/06/14;1241
1431;AFV03;Circuito Mylena;C1;S;N;0;0;0;0;N;NA;1431;2018/07/02;1431
1621;AFV03;Circuito Mylena;C1;S;N;0;0;0;0;N;NA;1621;2018/08/01;1621
110;AFV03;Circuito Mylena;C10;N;N;0;0;0;0;N;NA;110;2018/04/20;110
111;AFV04;Estrada Excelsior;C1;N;N;0;0;0;0;N;NA;111;2018/04/20;111
112;AFV04;Estrada Excelsior;C2;N;N;0;0;0;0;N;NA;112;2018/04/20;112
113;AFV04;Estrada Excelsior;C3;N;N;0;0;0;0;N;NA;113;2018/04/20;113
114;AFV04;Estrada Excelsior;C4;N;N;0;0;0;0;N;NA;114;2018/04/20;114
115;AFV04;Estrada Excelsior;C5;N;N;0;0;0;0;N;NA;115;2018/04/20;115
116;AFV04;Estrada Excelsior;C6;N;N;0;0;0;0;N;NA;116;2018/04/20;116
117;AFV04;Estrada Excelsior;C7;N;N;0;0;0;0;N;NA;117;2018/04/20;117
118;AFV04;Estrada Excelsior;C8;N;N;0;0;0;0;N;NA;118;2018/04/20;118
119;AFV04;Estrada Excelsior;C9;N;N;0;0;0;0;N;NA;119;2018/04/20;119
120;AFV04;Estrada Excelsior;C10;N;N;0;0;0;0;N;NA;120;2018/04/20;120
121;AFV09;Cercado Acima;C1;N;N;0;0;0;0;N;NA;121;2018/04/20;121
122;AFV09;Cercado Acima;C2;N;N;0;0;0;0;N;NA;122;2018/04/20;122
123;AFV09;Cercado Acima;C3;N;N;0;0;0;0;N;NA;123;2018/04/20;123
