"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","N","Sessenta"
"1",11,"AFV01","Restaurante Acima","C1","N","N","0","0",0,0,"N",NA,11,"2018/04/20",11,17
"2",201,"AFV01","Restaurante Acima","C1","N","N","0","0",0,0,"N",NA,201,"2018/04/24",201,17
"3",391,"AFV01","Restaurante Acima","C1","N","N","0","0",0,0,"N",NA,391,"2018/05/02",391,17
"4",581,"AFV01","Restaurante Acima","C1","N","N","0","0",0,0,"N",NA,581,"2018/05/09",581,17
"5",771,"AFV01","Restaurante Acima","C1","N","N","0","0",0,0,"N",NA,771,"2018/05/16",771,17
"6",961,"AFV01","Restaurante Acima","C1","N","N","0","0",0,0,"N",NA,961,"2018/05/30",961,17
"7",1151,"AFV01","Restaurante Acima","C1","N","N","0","0",0,0,"N",NA,1151,"2018/06/14",1151,17
"8",1341,"AFV01","Restaurante Acima","C1","N","N","0","0",0,0,"N",NA,1341,"2018/07/02",1341,17
"9",1531,"AFV01","Restaurante Acima","C1","N","N","0","0",0,0,"N",NA,1531,"2018/08/01",1531,17
"10",20,"AFV01","Restaurante Acima","C10","N","N","0","0",0,0,"N",NA,20,"2018/04/20",20,17
"11",210,"AFV01","Restaurante Acima","C10","N","N","0","0",0,0,"N",NA,210,"2018/04/24",210,17
"12",400,"AFV01","Restaurante Acima","C10","N","N","0","0",0,0,"N",NA,400,"2018/05/02",400,17
"13",590,"AFV01","Restaurante Acima","C10","N","N","0","0",0,0,"N",NA,590,"2018/05/09",590,17
"14",780,"AFV01","Restaurante Acima","C10","N","N","0","0",0,0,"N",NA,780,"2018/05/16",780,17
"15",970,"AFV01","Restaurante Acima","C10","N","N","0","0",0,0,"N",NA,970,"2018/05/30",970,17
"16",1160,"AFV01","Restaurante Acima","C10","N","N","0","0",0,0,"N",NA,1160,"2018/06/14",1160,17
"17",1350,"AFV01","Restaurante Acima","C10","N","N","0","0",0,0,"N",NA,1350,"2018/07/02",1350,17
"18",1540,"AFV01","Restaurante Acima","C10","N","N","0","0",0,0,"N",NA,1540,"2018/08/01",1540,17
"19",12,"AFV01","Restaurante Acima","C2","N","N","0","0",0,0,"N",NA,12,"2018/04/20",12,17
"20",202,"AFV01","Restaurante Acima","C2","N","N","0","0",0,0,"N",NA,202,"2018/04/24",202,17
"21",392,"AFV01","Restaurante Acima","C2","N","N","0","0",0,0,"N",NA,392,"2018/05/02",392,17
"22",582,"AFV01","Restaurante Acima","C2","N","N","0","0",0,0,"N",NA,582,"2018/05/09",582,17
"23",772,"AFV01","Restaurante Acima","C2","N","N","0","0",0,0,"N",NA,772,"2018/05/16",772,17
"24",962,"AFV01","Restaurante Acima","C2","N","N","0","0",0,0,"N",NA,962,"2018/05/30",962,17
"25",1152,"AFV01","Restaurante Acima","C2","D","S","8.7","0",0,0,"S",NA,1152,"2018/06/14",1152,17
"26",1342,"AFV01","Restaurante Acima","C2","D","S","8.7","0",0,0,"N",NA,1342,"2018/07/02",1342,17
"27",1532,"AFV01","Restaurante Acima","C2","D","S","8.7","0",0,0,"N",NA,1532,"2018/08/01",1532,17
"28",13,"AFV01","Restaurante Acima","C3","N","N","0","0",0,0,"N",NA,13,"2018/04/20",13,17
"29",203,"AFV01","Restaurante Acima","C3","N","N","0","0",0,0,"N",NA,203,"2018/04/24",203,17
"30",393,"AFV01","Restaurante Acima","C3","N","N","0","0",0,0,"N",NA,393,"2018/05/02",393,17
"31",583,"AFV01","Restaurante Acima","C3","N","N","0","0",0,0,"N",NA,583,"2018/05/09",583,17
"32",773,"AFV01","Restaurante Acima","C3","N","N","0","0",0,0,"N",NA,773,"2018/05/16",773,17
"33",963,"AFV01","Restaurante Acima","C3","N","N","0","0",0,0,"N",NA,963,"2018/05/30",963,17
"34",1153,"AFV01","Restaurante Acima","C3","N","N","12","0",0,0,"N",NA,1153,"2018/06/14",1153,17
"35",1343,"AFV01","Restaurante Acima","C3","N","N","12","0",0,0,"N",NA,1343,"2018/07/02",1343,17
"36",1533,"AFV01","Restaurante Acima","C3","N","N","12","0",0,0,"N",NA,1533,"2018/08/01",1533,17
"37",14,"AFV01","Restaurante Acima","C4","N","N","0","0",0,0,"N",NA,14,"2018/04/20",14,17
"38",204,"AFV01","Restaurante Acima","C4","N","N","0","0",0,0,"N",NA,204,"2018/04/24",204,17
"39",394,"AFV01","Restaurante Acima","C4","N","N","0","0",0,0,"N",NA,394,"2018/05/02",394,17
"40",584,"AFV01","Restaurante Acima","C4","N","N","0","0",0,0,"N",NA,584,"2018/05/09",584,17
"41",774,"AFV01","Restaurante Acima","C4","N","N","0","0",0,0,"N",NA,774,"2018/05/16",774,17
"42",964,"AFV01","Restaurante Acima","C4","N","N","0","0",0,0,"N",NA,964,"2018/05/30",964,17
"43",1154,"AFV01","Restaurante Acima","C4","N","N","8.7","0",0,0,"N",NA,1154,"2018/06/14",1154,17
"44",1344,"AFV01","Restaurante Acima","C4","N","N","8.7","0",0,0,"N",NA,1344,"2018/07/02",1344,17
"45",1534,"AFV01","Restaurante Acima","C4","N","N","8.7","0",0,0,"N",NA,1534,"2018/08/01",1534,17
"46",15,"AFV01","Restaurante Acima","C5","N","N","0","0",0,0,"N",NA,15,"2018/04/20",15,17
"47",205,"AFV01","Restaurante Acima","C5","N","N","0","0",0,0,"N",NA,205,"2018/04/24",205,17
"48",395,"AFV01","Restaurante Acima","C5","N","N","0","0",0,0,"N",NA,395,"2018/05/02",395,17
"49",585,"AFV01","Restaurante Acima","C5","N","N","0","0",0,0,"N",NA,585,"2018/05/09",585,17
"50",775,"AFV01","Restaurante Acima","C5","N","N","0","0",0,0,"N",NA,775,"2018/05/16",775,17
"51",965,"AFV01","Restaurante Acima","C5","N","N","0","0",0,0,"N",NA,965,"2018/05/30",965,17
"52",1155,"AFV01","Restaurante Acima","C5","D","S","12","0",0,0,"S",NA,1155,"2018/06/14",1155,17
