station;Rice-30;Rice 60;Latitude;Longitude;station;Ndis;Npre;intac
AFV05;7;7;" 22°57'13.94""S";" 43°17'25.98""W";AFV5;0;5;5
AFV06;7,23;7,23;" 22°57'8.80""S";" 43°17'17.10""W";AFV6;0;6;0
AFV16;9;9;" 22°57'32.97""S";" 43°17'15.34""W";AFV16;0;0;10
AFV11;11,85;10,6;" 22°57'19.64""S";" 43°17'14.93""W";AFV11;4;1;1
AFV15;15;12;" 22°57'32.26""S";" 43°17'28.15""W";AFV15;0;5;0
AFV17;14;13;" 22°57'31.11""S";" 43°17'4.63""W";AFV17;2;0;1
AFV01;15;15;" 22°57'0.57""S";" 43°17'14.76""W";AFV1;1;0;9
AFV07;21,33;18,96;" 22°57'5.77""S";" 43°17'3.32""W";AFV7;6;1;1
AFV03;22;21;" 22°56'56.26""S";" 43°16'50.24""W";AFV3;3;0;7
AFV04;31;29;" 22°56'56.88""S";" 43°16'40.95""W";AFV4;1;3;6
AFV09;41;37;" 22°57'8.90""S";" 43°16'40.69""W";AFV9;0;4;0
AFV10;38;37;" 22°57'20.37""S";" 43°17'26.57""W";AFV10;0;5;0
AFV12;40;38;" 22°57'19.14""S";" 43°17'3.90""W";AFV12;0;8;0
AFV20;41,85;38,38;" 22°57'2.85""S";" 43°17'17.08""W";AFV20;0;8;2
AFV13;69;52;" 22°57'19.43""S";" 43°16'52.35""W";AFV13;0;3;0
AFV08;73;65;" 22°57'8.32""S";" 43°16'51.92""W";AFV8;0;9;0
AFV18;0;;" 22°57'30.21""S";" 43°16'49.28""W";AFV18;0;0;10
AFV19;0;;" 22°57'30.94""S";" 43°16'40.61""W";AFV19;0;0;10
