station;Rice;Latitude;Longitude;;Ndis;Npred;intac
AFV18;0;" 22°57'30.21""S";" 43°16'49.28""W";;2;0;6
AFV19;0;" 22°57'30.94""S";" 43°16'40.61""W";;3;0;1
AFV15;6;" 22°57'32.26""S";" 43°17'28.15""W";;2;0;5
AFV03;12,85714286;" 22°56'56.26""S";" 43°16'50.24""W";;2;0;4
AFV06;12,85714286;" 22°57'8.80""S";" 43°17'17.10""W";;0;4;10
AFV16;15;" 22°57'32.97""S";" 43°17'15.34""W";;0;5;0
AFV01;17;" 22°57'0.57""S";" 43°17'14.76""W";;1;8;0
AFV04;21,25;" 22°56'56.88""S";" 43°16'40.95""W";;0;10;0
AFV14;23;" 22°57'18.15""S";" 43°16'39.26""W";;0;6;2
AFV11;28;" 22°57'19.64""S";" 43°17'14.93""W";;4;0;0
AFV05;31,15384615;" 22°57'13.94""S";" 43°17'25.98""W";;2;7;0
AFV17;33;" 22°57'31.11""S";" 43°17'4.63""W";;1;9;0
AFV12;34,8;" 22°57'19.14""S";" 43°17'3.90""W";;3;0;1
AFV09;35;" 22°57'8.90""S";" 43°16'40.69""W";;0;0;10
AFV08;38;" 22°57'8.32""S";" 43°16'51.92""W";;0;2;0
AFV10;42,35294118;" 22°57'20.37""S";" 43°17'26.57""W";;2;4;0
AFV20;46,25;" 22°57'2.85""S";" 43°17'17.08""W";;0;0;10
AFV07;51;" 22°57'5.77""S";" 43°17'3.32""W";;0;0;10
AFV13;60;" 22°57'19.43""S";" 43°16'52.35""W";;0;7;0
