"","station","Rice","Latitude","Longitude","station.1","Ndis","Npre","intac","lat_dec","long_dec"
"1","AFV01",15,"22 57 0.57","43 17 14.76","AFV1",1,0,9,"22.9501583333333","43.2874333333333"
"2","AFV03",22,"22 56 56.26","43 16 50.24","AFV3",3,0,7,"22.9489611111111","43.2806222222222"
"3","AFV04",31,"22 56 56.88","43 16 40.95","AFV4",1,3,6,"22.9491333333333","43.2780416666667"
"4","AFV05",7,"22 57 13.94","43 17 25.98","AFV5",0,5,5,"22.9538722222222","43.29055"
"5","AFV06",7.23,"22 57 8.80","43 17 17.10","AFV6",0,6,0,"22.9524444444444","43.2880833333333"
"6","AFV07",21.33,"22 57 5.77","43 17 3.32","AFV7",6,1,1,"22.9516027777778","43.2842555555556"
"7","AFV08",73,"22 57 8.32","43 16 51.92","AFV8",0,9,0,"22.9523111111111","43.2810888888889"
"8","AFV09",41,"22 57 8.90","43 16 40.69","AFV9",0,4,0,"22.9524722222222","43.2779694444444"
"9","AFV10",38,"22 57 20.37","43 17 26.57","AFV10",0,5,0,"22.9556583333333","43.2907138888889"
"10","AFV11",11.85,"22 57 19.64","43 17 14.93","AFV11",4,1,1,"22.9554555555556","43.2874805555556"
"11","AFV12",40,"22 57 19.14","43 17 3.90","AFV12",0,8,0,"22.9553166666667","43.2844166666667"
"12","AFV13",69,"22 57 19.43","43 16 52.35","AFV13",0,3,0,"22.9553972222222","43.2812083333333"
"13","AFV15",15,"22 57 32.26","43 17 28.15","AFV15",0,5,0,"22.9589611111111","43.2911527777778"
"14","AFV16",9,"22 57 32.97","43 17 15.34","AFV16",0,0,10,"22.9591583333333","43.2875944444444"
"15","AFV17",14,"22 57 31.11","43 17 4.63","AFV17",2,0,1,"22.9586416666667","43.2846194444444"
"16","AFV18",0,"22 57 30.21","43 16 49.28","AFV18",0,0,10,"22.9583916666667","43.2803555555556"
"17","AFV19",0,"22 57 30.94","43 16 40.61","AFV19",0,0,10,"22.9585944444444","43.2779472222222"
"18","AFV20",41.85,"22 57 2.85","43 17 17.08","AFV20",0,8,2,"22.9507916666667","43.2880777777778"
