"","station","Rice","Latitude","Longitude","X","Ndis","Npred","intac","lat_dec","long_dec"
"1","AFV01",17,"22 57 0.57","43 17 14.76",NA,2,0,6,"22.9501583333333","43.2874333333333"
"2","AFV03",12.85714286,"22 56 56.26","43 16 50.24",NA,3,0,1,"22.9489611111111","43.2806222222222"
"3","AFV04",21.25,"22 56 56.88","43 16 40.95",NA,2,0,5,"22.9491333333333","43.2780416666667"
"4","AFV05",31.15384615,"22 57 13.94","43 17 25.98",NA,2,0,4,"22.9538722222222","43.29055"
"5","AFV06",12.85714286,"22 57 8.80","43 17 17.10",NA,0,4,10,"22.9524444444444","43.2880833333333"
"6","AFV07",51,"22 57 5.77","43 17 3.32",NA,0,5,0,"22.9516027777778","43.2842555555556"
"7","AFV08",38,"22 57 8.32","43 16 51.92",NA,1,8,0,"22.9523111111111","43.2810888888889"
"8","AFV09",35,"22 57 8.90","43 16 40.69",NA,0,10,0,"22.9524722222222","43.2779694444444"
"9","AFV10",42.35294118,"22 57 20.37","43 17 26.57",NA,0,6,2,"22.9556583333333","43.2907138888889"
"10","AFV11",28,"22 57 19.64","43 17 14.93",NA,4,0,0,"22.9554555555556","43.2874805555556"
"11","AFV12",34.8,"22 57 19.14","43 17 3.90",NA,2,7,0,"22.9553166666667","43.2844166666667"
"12","AFV13",60,"22 57 19.43","43 16 52.35",NA,1,9,0,"22.9553972222222","43.2812083333333"
"13","AFV14",23,"22 57 18.15","43 16 39.26",NA,3,0,1,"22.9550416666667","43.2775722222222"
"14","AFV15",6,"22 57 32.26","43 17 28.15",NA,0,0,10,"22.9589611111111","43.2911527777778"
"15","AFV16",15,"22 57 32.97","43 17 15.34",NA,0,2,0,"22.9591583333333","43.2875944444444"
"16","AFV17",33,"22 57 31.11","43 17 4.63",NA,2,4,0,"22.9586416666667","43.2846194444444"
"17","AFV18",0,"22 57 30.21","43 16 49.28",NA,0,0,10,"22.9583916666667","43.2803555555556"
"18","AFV19",0,"22 57 30.94","43 16 40.61",NA,0,0,10,"22.9585944444444","43.2779472222222"
"19","AFV20",46.25,"22 57 2.85","43 17 17.08",NA,0,7,0,"22.9507916666667","43.2880777777778"
